original_file,github_filename,suggested_title,folder,watermark_removed,include_on_site,notes
20240519_083118.jpg,wildlife-garter-snake-gravel-close-20240519.jpg,Garter snake on gravel — close view,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240522_174955.jpg,wildlife-black-billed-magpie-grass-20240522.jpg,Black-billed magpie resting on grass,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240527_093447.jpg,wildlife-albino-ball-python-closeup-20240527.jpg,Albino ball python — close-up texture,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240531_195429.jpg,wildlife-jumping-spider-macro-20240531.jpg,Jumping spider macro,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_135249.jpg,wildlife-mallard-white-duck-lake-20240608.jpg,Mallard and white duck on lake,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_135256.jpg,wildlife-white-duck-lake-20240608.jpg,White duck on rippled water,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_135355.jpg,wildlife-duck-rocky-shore-20240608.jpg,Duck on rocky shore,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_140516.jpg,wildlife-cat-garden-grass-20240608.jpg,Cat in garden grass,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_154109.jpg,wildlife-greylag-goose-grass-20240608.jpg,Greylag goose in grass,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240609_113444.jpg,wildlife-songbird-rock-water-20240609.jpg,Songbird by water reflections,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240609_130325.jpg,wildlife-black-horse-pasture-20240609.jpg,Black horse in pasture,DCP-Visuals/wildlife/,yes,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240609_130401.jpg,wildlife-white-horse-pasture-20240609.jpg,White horse in pasture,DCP-Visuals/wildlife/,yes,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240609_142529.jpg,wildlife-bird-water-reflections-20240609.jpg,Bird with blue water reflections,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240610_103131.jpg,wildlife-jackdaw-grass-20240610.jpg,Jackdaw on grass,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240612_143402.jpg,wildlife-ladybug-fabric-macro-20240612.jpg,Ladybug macro on fabric,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240613_193617.jpg,wildlife-snail-shells-terracotta-20240613.jpg,Snail shells on terracotta,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240613_193839.jpg,wildlife-snail-shell-closeup-20240613.jpg,Snail shell close-up,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240613_224850.jpg,wildlife-garden-snail-night-20240613.jpg,Garden snail at night,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_135243.jpg,wildlife-mallard-duck-closeup-20240608.jpg,Mallard duck close-up,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
20240608_134100.jpg,wildlife-garter-snake-gravel-20240608.jpg,Garter snake on gravel,DCP-Visuals/wildlife/,not detected,yes,"Enhanced NatGeo-style: natural contrast, richer color, clarity/sharpening, web-ready JPEG."
